Date,Department,Type,PrixM2Median,PrixMedian,NbVentes
2014-04-01,06,Maison,3923.0,339950.0,396
2014-07-01,06,Maison,4200.0,375000.0,511
2014-10-01,06,Maison,4244.0,342257.0,470
2015-01-01,06,Maison,4167.0,346300.0,384
2015-04-01,06,Maison,4082.0,350000.0,485
2015-07-01,06,Maison,4217.0,364500.0,580
2015-10-01,06,Maison,4118.0,368000.0,593
2016-01-01,06,Maison,3971.0,352000.0,511
2016-04-01,06,Maison,3988.0,345000.0,488
2016-07-01,06,Maison,4094.0,359100.0,599
2016-10-01,06,Maison,4146.0,350000.0,539
2017-01-01,06,Maison,4094.0,342450.0,600
2017-04-01,06,Maison,4026.0,350000.0,605
2017-07-01,06,Maison,4167.0,380150.0,662
2017-10-01,06,Maison,4220.0,356000.0,617
2018-01-01,06,Maison,4174.0,359000.0,523
2018-04-01,06,Maison,4286.0,372500.0,404
2018-07-01,06,Maison,4581.0,414000.0,372
2018-10-01,06,Maison,4943.0,438500.0,170
2019-01-01,06,Maison,4225.0,365000.0,568
2019-04-01,06,Maison,4271.0,375000.0,639
2019-07-01,06,Maison,4302.0,390000.0,766
2019-10-01,06,Maison,4381.0,384000.0,642
2020-01-01,06,Maison,4388.0,390000.0,543
2020-04-01,06,Maison,4417.0,390000.0,537
2020-07-01,06,Maison,4333.0,388500.0,661
2020-10-01,06,Maison,4590.0,400000.0,746
2014-01-01,07,Appartement,1325.0,90000.0,148
2014-04-01,07,Appartement,1231.0,80000.0,151
2014-07-01,07,Appartement,1323.0,86000.0,151
2014-10-01,07,Appartement,1324.0,83000.0,119
2015-01-01,07,Appartement,1287.0,82500.0,153
2015-04-01,07,Appartement,1352.0,83385.0,172
2015-07-01,07,Appartement,1348.0,84350.0,178
2015-10-01,07,Appartement,1271.0,81500.0,198
2016-01-01,07,Appartement,1323.0,79845.0,146
2016-04-01,07,Appartement,1200.0,78000.0,197
2016-07-01,07,Appartement,1249.0,82650.0,200
2016-10-01,07,Appartement,1338.0,83500.0,185
2017-01-01,07,Appartement,1338.0,88000.0,178
2017-04-01,07,Appartement,1353.0,86000.0,203
2017-07-01,07,Appartement,1220.0,78100.0,188
2017-10-01,07,Appartement,1269.0,90000.0,180
2018-01-01,07,Appartement,1311.0,80000.0,164
2018-04-01,07,Appartement,1287.0,79000.0,110
2018-07-01,07,Appartement,1267.0,92000.0,99
2018-10-01,07,Appartement,1278.0,90000.0,63
2019-01-01,07,Appartement,1206.0,80000.0,221
2019-04-01,07,Appartement,1275.0,79000.0,231
2019-07-01,07,Appartement,1299.0,78750.0,218
2019-10-01,07,Appartement,1429.0,90169.0,245
2020-01-01,07,Appartement,1227.0,80660.0,211
